"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn53182538","README.txt","2","text/plain","3115","3485738","1703080766599","3485738","1705328323133","syn53009474","https://www.synapse.org/#!Synapse:syn53182538.2","57829ebe883dd19b79b8a168262f2469"
"syn53175701","PZ090_phonationO.wav","1","audio/wav","23724","3485738","1702904524163","3485738","1702904524163","syn53175548","https://www.synapse.org/#!Synapse:syn53175701.1","2c21e6ef0bba68dbc7ccc12986c0149a"
"syn53175865","PZ079_phonationU.wav","1","audio/wav","27564","3485738","1702904897216","3485738","1702904897216","syn53175731","https://www.synapse.org/#!Synapse:syn53175865.1","1b62f25d705525e7ae1c7f5c1c309420"
"syn53175675","PZ063_phonationO.wav","1","audio/wav","29484","3485738","1702904471628","3485738","1702904471628","syn53175548","https://www.synapse.org/#!Synapse:syn53175675.1","af5e44c4a76a36b632a45c82ce5f0527"
"syn53175876","PZ090_phonationU.wav","1","audio/wav","32684","3485738","1702904918829","3485738","1702904918829","syn53175731","https://www.synapse.org/#!Synapse:syn53175876.1","8e9973e451b6cc59912e01aa5749e13b"
"syn53175479","PZ063_phonationI.wav","1","audio/wav","33324","3485738","1702903926840","3485738","1702903926840","syn53175354","https://www.synapse.org/#!Synapse:syn53175479.1","d7ee75123d8ba2ef62ad282675ffce5e"
"syn53175303","PZ079_phonationE.wav","1","audio/wav","33964","3485738","1702903303304","3485738","1702903303304","syn53175169","https://www.synapse.org/#!Synapse:syn53175303.1","3c0a782466770e3aea2fdacffea3fbb8"
"syn53175314","PZ090_phonationE.wav","1","audio/wav","34604","3485738","1702903325780","3485738","1702903325780","syn53175169","https://www.synapse.org/#!Synapse:syn53175314.1","72379d57f5e9cc04153aae50251f44aa"
"syn53175275","PZ051_phonationE.wav","1","audio/wav","35884","3485738","1702903245769","3485738","1702903245769","syn53175169","https://www.synapse.org/#!Synapse:syn53175275.1","519400c1e676dd414b92ae495a8ffd46"
"syn53175690","PZ079_phonationO.wav","1","audio/wav","35884","3485738","1702904501596","3485738","1702904501596","syn53175548","https://www.synapse.org/#!Synapse:syn53175690.1","94fd1ef5e4452b6a3abaa41deaf275e6"
"syn53175630","PZ020_phonationO.wav","1","audio/wav","36524","3485738","1702904386551","3485738","1702904386551","syn53175548","https://www.synapse.org/#!Synapse:syn53175630.1","0d9e8cadae39bb7a32170900378da81f"
