file,error
/Users/edward/Documents/GitHub/als-project/filtered/data/MSA_dataset/MSA_i_2/voiced/MSA11i2_clean_OnlyVoiced.wav,"Input X contains NaN.
PCA does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
/Users/edward/Documents/GitHub/als-project/filtered/data/MSA_dataset/MSA_i_2/voiced/MSA11i1_clean_OnlyVoiced.wav,"Input X contains NaN.
PCA does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
/Users/edward/Documents/GitHub/als-project/filtered/data/PSP_dataset/PSP_i_1/voiced/PSP5i1_clean_OnlyVoiced.wav,"Input X contains NaN.
PCA does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/257A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/220A_OnlyVoiced.wav,"Command requires more than the given 2 arguments: no value for argument ""Subtract mean"".
"
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/218A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/233A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/228A_OnlyVoiced.wav,"Command requires more than the given 2 arguments: no value for argument ""Subtract mean"".
"
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/247A_OnlyVoiced.wav,"Command requires more than the given 2 arguments: no value for argument ""Subtract mean"".
"
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/258A_OnlyVoiced.wav,index 0 is out of bounds for axis 0 with size 0
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/225A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/202A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/264A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/263A_OnlyVoiced.wav,index 0 is out of bounds for axis 0 with size 0
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/262A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_noEP_Audios/voiced/226A_OnlyVoiced.wav,index 0 is out of bounds for axis 0 with size 0
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/136A_OnlyVoiced.wav,index 0 is out of bounds for axis 0 with size 0
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/122A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/155A_OnlyVoiced.wav,"Input X contains NaN.
PCA does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/128A_OnlyVoiced.wav,"Command requires more than the given 2 arguments: no value for argument ""Subtract mean"".
"
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/149A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/145A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/115A_OnlyVoiced.wav,"To analyse this Sound, “minimum pitch” must not be less than 1000 Hz.
Sound ""untitled"": pitch analysis not performed."
/Users/edward/Documents/GitHub/als-project/filtered/data/PD_dataset_1/A_EP_Audios/voiced/101A_OnlyVoiced.wav,"Input X contains NaN.
PCA does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
